name,field,branches,cutoff,category,location,Year
Symbiosis Institute of Technology Lavale,Engineering,Mechanical Engineering,94.20 %ile,OBC,Pune Maharashtra,2025
Indira College of Engineering & Management Pune,Engineering,Computer Science Engineering,91.90 %ile,General,Pune Maharashtra,2025
Indira College of Engineering & Management Pune,Engineering,Mechanical Engineering,89.60 %ile,OBC,Pune Maharashtra,2025
Zeal College of Engineering & Research Pune,Engineering,Computer Science Engineering,93.30 %ile,General,Pune Maharashtra,2025
Zeal College of Engineering & Research Pune,Engineering,Electronics & Telecommunication,91.70 %ile,OBC,Pune Maharashtra,2025
Imperial College of Engineering Wagholi,Engineering,Computer Science Engineering,92.40 %ile,General,Pune Maharashtra,2025
Imperial College of Engineering Wagholi,Engineering,Mechanical Engineering,90.10 %ile,OBC,Pune Maharashtra,2025
Sanjay Ghodawat University Kolhapur,Engineering,Computer Science Engineering,93.60 %ile,General,Kolhapur Maharashtra,2025
Sanjay Ghodawat University Kolhapur,Engineering,Mechanical Engineering,91.20 %ile,OBC,Kolhapur Maharashtra,2025
RIT College of Engineering Islampur,Engineering,Computer Science Engineering,92.80 %ile,General,Sangli Maharashtra,2025
RIT College of Engineering Islampur,Engineering,Electronics Engineering,90.90 %ile,OBC,Sangli Maharashtra,2025
Dnyanshree Institute of Engineering & Technology Satara,Engineering,Computer Science Engineering,91.50 %ile,General,Satara Maharashtra,2025
Dnyanshree Institute of Engineering & Technology Satara,Engineering,Mechanical Engineering,89.20 %ile,OBC,Satara Maharashtra,2025
Siddhant College of Engineering Maval,Engineering,Computer Science Engineering,90.80 %ile,General,Pune Maharashtra,2025
Siddhant College of Engineering Maval,Engineering,Mechanical Engineering,88.40 %ile,OBC,Pune Maharashtra,2025
Sharadchandra Pawar College of Engineering Pune,Engineering,Computer Science Engineering,92.10 %ile,General,Pune Maharashtra,2025
Sharadchandra Pawar College of Engineering Pune,Engineering,Mechanical Engineering,89.90 %ile,OBC,Pune Maharashtra,2025
Government College of Engineering Shahada,Engineering,Mechanical Engineering,88.10 %ile,General,Nandurbar Maharashtra,2025
Government College of Engineering Shahada,Engineering,Civil Engineering,86.20 %ile,ST,Nandurbar Maharashtra,2025
SNJB College of Engineering Chandwad,Engineering,Computer Science Engineering,91.80 %ile,General,Nashik Maharashtra,2025
SNJB College of Engineering Chandwad,Engineering,Mechanical Engineering,89.40 %ile,OBC,Nashik Maharashtra,2025
KCE Society’s College of Engineering Jalgaon,Engineering,Computer Science Engineering,92.00 %ile,General,Jalgaon Maharashtra,2025
KCE Society’s College of Engineering Jalgaon,Engineering,Electronics Engineering,90.30 %ile,OBC,Jalgaon Maharashtra,2025
SVKM’s Institute of Technology Dhule,Engineering,Computer Science Engineering,90.60 %ile,General,Dhule Maharashtra,2025
SVKM’s Institute of Technology Dhule,Engineering,Mechanical Engineering,88.50 %ile,OBC,Dhule Maharashtra,2025
SSGM College of Engineering Shegaon,Engineering,Computer Science Engineering,91.20 %ile,General,Buldhana Maharashtra,2025
SSGM College of Engineering Shegaon,Engineering,Mechanical Engineering,88.90 %ile,OBC,Buldhana Maharashtra,2025
PRMIT & R Badnera,Engineering,Computer Science Engineering,92.40 %ile,General,Amravati Maharashtra,2025
PRMIT & R Badnera,Engineering,Electronics Engineering,90.80 %ile,OBC,Amravati Maharashtra,2025
HVPM College of Engineering & Technology Amravati,Engineering,Computer Science Engineering,91.60 %ile,General,Amravati Maharashtra,2025
HVPM College of Engineering & Technology Amravati,Engineering,Mechanical Engineering,89.20 %ile,OBC,Amravati Maharashtra,2025
Matoshri Pratishthan College of Engineering Gangakhed,Engineering,Computer Science Engineering,89.90 %ile,General,Parbhani Maharashtra,2025
Matoshri Pratishthan College of Engineering Gangakhed,Engineering,Mechanical Engineering,87.60 %ile,OBC,Parbhani Maharashtra,2025
Vilasrao Deshmukh College of Engineering Latur,Engineering,Computer Science Engineering,91.30 %ile,General,Latur Maharashtra,2025
Vilasrao Deshmukh College of Engineering Latur,Engineering,Electronics Engineering,89.70 %ile,OBC,Latur Maharashtra,2025
Aditya College of Engineering Beed,Engineering,Computer Science Engineering,90.40 %ile,General,Beed Maharashtra,2025
Aditya College of Engineering Beed,Engineering,Mechanical Engineering,88.20 %ile,OBC,Beed Maharashtra,2025
Hi-Tech Institute of Engineering & Technology Aurangabad,Engineering,Computer Science Engineering,91.00 %ile,General,Aurangabad Maharashtra,2025
Hi-Tech Institute of Engineering & Technology Aurangabad,Engineering,Mechanical Engineering,88.60 %ile,OBC,Aurangabad Maharashtra,2025
Government College of Engineering Jalna,Engineering,Mechanical Engineering,89.70 %ile,General,Jalna Maharashtra,2025
Government College of Engineering Jalna,Engineering,Civil Engineering,87.30 %ile,SC,Jalna Maharashtra,2025
MGM College of Engineering Nanded,Engineering,Computer Science Engineering,91.80 %ile,General,Nanded Maharashtra,2025
MGM College of Engineering Nanded,Engineering,Mechanical Engineering,89.50 %ile,OBC,Nanded Maharashtra,2025
Matoshri College of Engineering & Research Centre Nashik,Engineering,Computer Science Engineering,92.10 %ile,General,Nashik Maharashtra,2025
Matoshri College of Engineering & Research Centre Nashik,Engineering,Electronics Engineering,90.40 %ile,OBC,Nashik Maharashtra,2025
Pratibha Institute of Engineering & Technology Chincholi,Engineering,Computer Science Engineering,90.60 %ile,General,Osmanabad Maharashtra,2025
Pratibha Institute of Engineering & Technology Chincholi,Engineering,Mechanical Engineering,88.10 %ile,OBC,Osmanabad Maharashtra,2025
Shivneri College of Engineering Shirur,Engineering,Computer Science Engineering,91.20 %ile,General,Pune Maharashtra,2025
Shivneri College of Engineering Shirur,Engineering,Mechanical Engineering,88.70 %ile,OBC,Pune Maharashtra,2025
Vidya Niketan College of Engineering Bhandara,Engineering,Computer Science Engineering,90.30 %ile,General,Bhandara Maharashtra,2025
Vidya Niketan College of Engineering Bhandara,Engineering,Mechanical Engineering,88.00 %ile,OBC,Bhandara Maharashtra,2025
Sant Gadge Baba College of Engineering Karad,Engineering,Computer Science Engineering,92.40 %ile,General,Satara Maharashtra,2025
Sant Gadge Baba College of Engineering Karad,Engineering,Electronics Engineering,90.90 %ile,OBC,Satara Maharashtra,2025
Saraswati College of Engineering Kharghar,Engineering,Electronics Engineering,92.20 %ile,General,Navi Mumbai Maharashtra,2025
Saraswati College of Engineering Kharghar,Engineering,Computer Science Engineering,93.40 %ile,OBC,Navi Mumbai Maharashtra,2025
Rajiv Gandhi College of Engineering Atpadi,Engineering,Computer Science Engineering,89.80 %ile,General,Sangli Maharashtra,2025
Rajiv Gandhi College of Engineering Atpadi,Engineering,Mechanical Engineering,87.50 %ile,OBC,Sangli Maharashtra,2025
TSSM’s Bhivarabai Sawant College of Engineering Pune,Engineering,Computer Science Engineering,92.60 %ile,General,Pune Maharashtra,2025
TSSM’s Bhivarabai Sawant College of Engineering Pune,Engineering,Electronics Engineering,91.10 %ile,OBC,Pune Maharashtra,2025
Shree Ramchandra College of Engineering Lonikand,Engineering,Electronics Engineering,89.20 %ile,General,Pune Maharashtra,2025
Shree Ramchandra College of Engineering Lonikand,Engineering,Mechanical Engineering,87.10 %ile,OBC,Pune Maharashtra,2025
Government College of Engineering Raigad,Engineering,Mechanical Engineering,88.30 %ile,General,Raigad Maharashtra,2025
Government College of Engineering Raigad,Engineering,Civil Engineering,86.10 %ile,ST,Raigad Maharashtra,2025
Shivajirao Jondhale College of Engineering Asangaon,Engineering,Computer Science Engineering,91.40 %ile,General,Thane Maharashtra,2025
Shivajirao Jondhale College of Engineering Asangaon,Engineering,Mechanical Engineering,88.90 %ile,OBC,Thane Maharashtra,2025
VPM Maharshi Parshuram College of Engineering Velneshwar,Engineering,Computer Science Engineering,90.20 %ile,General,Ratnagiri Maharashtra,2025
VPM Maharshi Parshuram College of Engineering Velneshwar,Engineering,Mechanical Engineering,87.70 %ile,OBC,Ratnagiri Maharashtra,2025
Dilkap Research Institute of Engineering & Management Neral,Engineering,Computer Science Engineering,89.60 %ile,General,Raigad Maharashtra,2025
Dilkap Research Institute of Engineering & Management Neral,Engineering,Mechanical Engineering,87.30 %ile,OBC,Raigad Maharashtra,2025
Ideal Institute of Technology Wada,Engineering,Electronics Engineering,88.90 %ile,General,Palghar Maharashtra,2025
Ideal Institute of Technology Wada,Engineering,Mechanical Engineering,86.80 %ile,OBC,Palghar Maharashtra,2025
Late Narayandas Bhawandas Chhabada Institute of Engineering Satara,Engineering,Computer Science Engineering,90.70 %ile,General,Satara Maharashtra,2025
Late Narayandas Bhawandas Chhabada Institute of Engineering Satara,Engineering,Mechanical Engineering,88.20 %ile,OBC,Satara Maharashtra,2025
Sanjivani Rural Education Society COE Kopargaon,Engineering,Computer Science Engineering,92.80 %ile,General,Ahmednagar Maharashtra,2025
Sanjivani Rural Education Society COE Kopargaon,Engineering,Electronics Engineering,91.00 %ile,OBC,Ahmednagar Maharashtra,2025
Mula Education Society COE Sonai,Engineering,Computer Science Engineering,89.90 %ile,General,Ahmednagar Maharashtra,2025
Mula Education Society COE Sonai,Engineering,Mechanical Engineering,87.40 %ile,OBC,Ahmednagar Maharashtra,2025
Sanjay Bhokare Group of Institutes Miraj,Engineering,Computer Science Engineering,90.40 %ile,General,Sangli Maharashtra,2025
Sanjay Bhokare Group of Institutes Miraj,Engineering,Mechanical Engineering,88.10 %ile,OBC,Sangli Maharashtra,2025
Rajendra Mane College of Engineering Devrukh,Engineering,Electronics Engineering,89.30 %ile,General,Ratnagiri Maharashtra,2025
Rajendra Mane College of Engineering Devrukh,Engineering,Mechanical Engineering,87.00 %ile,OBC,Ratnagiri Maharashtra,2025
AIIMS Delhi,Medical,MBBS,720 marks,General,New Delhi Delhi,2025
AIIMS Delhi,Medical,MBBS,705 marks,OBC,New Delhi Delhi,2025
AIIMS Delhi,Medical,MBBS,690 marks,SC,New Delhi Delhi,2025
Grant Medical College Mumbai,Medical,MBBS,680 marks,General,Mumbai Maharashtra,2025
Grant Medical College Mumbai,Medical,MBBS,650 marks,OBC,Mumbai Maharashtra,2025
Grant Medical College Mumbai,Medical,MBBS,625 marks,SC,Mumbai Maharashtra,2025
BJ Medical College Pune,Medical,MBBS,670 marks,General,Pune Maharashtra,2025
BJ Medical College Pune,Medical,MBBS,640 marks,OBC,Pune Maharashtra,2025
BJ Medical College Pune,Medical,MBBS,610 marks,ST,Pune Maharashtra,2025
Seth GS Medical College (KEM),Medical,MBBS,685 marks,General,Mumbai Maharashtra,2025
Seth GS Medical College (KEM),Medical,MBBS,655 marks,OBC,Mumbai Maharashtra,2025
Seth GS Medical College (KEM),Medical,MBBS,630 marks,SC,Mumbai Maharashtra,2025
Government Medical College Nagpur,Medical,MBBS,660 marks,General,Nagpur Maharashtra,2025
Government Medical College Nagpur,Medical,MBBS,630 marks,OBC,Nagpur Maharashtra,2025
Government Medical College Nagpur,Medical,MBBS,600 marks,ST,Nagpur Maharashtra,2025
Madras Medical College,Medical,MBBS,675 marks,General,Chennai Tamil Nadu,2025
Madras Medical College,Medical,MBBS,645 marks,OBC,Chennai Tamil Nadu,2025
Madras Medical College,Medical,MBBS,615 marks,SC,Chennai Tamil Nadu,2025
Bangalore Medical College,Medical,MBBS,670 marks,General,Bengaluru Karnataka,2025
Bangalore Medical College,Medical,MBBS,640 marks,OBC,Bengaluru Karnataka,2025
Bangalore Medical College,Medical,MBBS,610 marks,SC,Bengaluru Karnataka,2025
SMS Medical College Jaipur,Medical,MBBS,665 marks,General,Jaipur Rajasthan,2025
SMS Medical College Jaipur,Medical,MBBS,635 marks,OBC,Jaipur Rajasthan,2025
SMS Medical College Jaipur,Medical,MBBS,605 marks,ST,Jaipur Rajasthan,2025
King George’s Medical University,Medical,MBBS,660 marks,General,Lucknow Uttar Pradesh,2025
King George’s Medical University,Medical,MBBS,630 marks,OBC,Lucknow Uttar Pradesh,2025
King George’s Medical University,Medical,MBBS,600 marks,SC,Lucknow Uttar Pradesh,2025
AIIMS Jodhpur,Medical,MBBS,705 marks,General,Jodhpur Rajasthan,2025
AIIMS Jodhpur,Medical,MBBS,680 marks,OBC,Jodhpur Rajasthan,2025
AIIMS Bhopal,Medical,MBBS,700 marks,General,Bhopal Madhya Pradesh,2025
AIIMS Bhopal,Medical,MBBS,675 marks,SC,Bhopal Madhya Pradesh,2025
AIIMS Bhubaneswar,Medical,MBBS,695 marks,General,Bhubaneswar Odisha,2025
AIIMS Bhubaneswar,Medical,MBBS,665 marks,OBC,Bhubaneswar Odisha,2025
AIIMS Rishikesh,Medical,MBBS,690 marks,General,Rishikesh Uttarakhand,2025
AIIMS Raipur,Medical,MBBS,685 marks,General,Raipur Chhattisgarh,2025
Maulana Azad Medical College,Medical,MBBS,675 marks,General,New Delhi Delhi,2025
Maulana Azad Medical College,Medical,MBBS,650 marks,OBC,New Delhi Delhi,2025
Lady Hardinge Medical College,Medical,MBBS,670 marks,General,New Delhi Delhi,2025
VMMC & Safdarjung Hospital,Medical,MBBS,665 marks,General,New Delhi Delhi,2025
Topiwala National Medical College (TNMC),Medical,MBBS,660 marks,OBC,Mumbai Maharashtra,2025
Lokmanya Tilak Medical College (Sion),Medical,MBBS,655 marks,SC,Mumbai Maharashtra,2025
BJ Medical College Ahmedabad,Medical,MBBS,670 marks,General,Ahmedabad Gujarat,2025
Government Medical College Surat,Medical,MBBS,645 marks,OBC,Surat Gujarat,2025
Government Medical College Baroda,Medical,MBBS,650 marks,General,Vadodara Gujarat,2025
Government Medical College Thiruvananthapuram,Medical,MBBS,665 marks,General,Thiruvananthapuram Kerala,2025
Government Medical College Kozhikode,Medical,MBBS,655 marks,OBC,Kozhikode Kerala,2025
Madurai Medical College,Medical,MBBS,650 marks,General,Madurai Tamil Nadu,2025
Stanley Medical College,Medical,MBBS,660 marks,General,Chennai Tamil Nadu,2025
Government Medical College Chandigarh,Medical,MBBS,665 marks,General,Chandigarh Chandigarh,2025
Government Medical College Kota,Medical,MBBS,640 marks,OBC,Kota Rajasthan,2025
Indira Gandhi Medical College Shimla,Medical,MBBS,645 marks,General,Shimla Himachal Pradesh,2025
Government Medical College Srinagar,Medical,MBBS,640 marks,General,Srinagar Jammu & Kashmir,2025
Government Medical College Jammu,Medical,MBBS,635 marks,OBC,Jammu Jammu & Kashmir,2025
AIIMS Patna,Medical,MBBS,690 marks,General,Patna Bihar,2025
AIIMS Nagpur,Medical,MBBS,685 marks,General,Nagpur Maharashtra,2025
AIIMS Nagpur,Medical,MBBS,660 marks,OBC,Nagpur Maharashtra,2025
AIIMS Bathinda,Medical,MBBS,675 marks,General,Bathinda Punjab,2025
AIIMS Deoghar,Medical,MBBS,670 marks,General,Deoghar Jharkhand,2025
AIIMS Kalyani,Medical,MBBS,665 marks,General,Kalyani West Bengal,2025
AIIMS Bibinagar,Medical,MBBS,660 marks,General,Bibinagar Telangana,2025
AIIMS Guwahati,Medical,MBBS,655 marks,General,Guwahati Assam,2025
AIIMS Bilaspur,Medical,MBBS,650 marks,General,Bilaspur Himachal Pradesh,2025
AIIMS Gorakhpur,Medical,MBBS,645 marks,General,Gorakhpur Uttar Pradesh,2025
Government Medical College Patiala,Medical,MBBS,650 marks,General,Patiala Punjab,2025
Government Medical College Amritsar,Medical,MBBS,645 marks,OBC,Amritsar Punjab,2025
Government Medical College Ludhiana,Medical,MBBS,655 marks,General,Ludhiana Punjab,2025
Government Medical College Haldwani,Medical,MBBS,640 marks,General,Haldwani Uttarakhand,2025
Government Medical College Rohtak,Medical,MBBS,650 marks,General,Rohtak Haryana,2025
Government Medical College Faridabad,Medical,MBBS,645 marks,OBC,Faridabad Haryana,2025
Government Medical College Rajkot,Medical,MBBS,640 marks,General,Rajkot Gujarat,2025
Government Medical College Bhavnagar,Medical,MBBS,635 marks,OBC,Bhavnagar Gujarat,2025
Government Medical College Jamnagar,Medical,MBBS,645 marks,General,Jamnagar Gujarat,2025
Gandhi Medical College Hyderabad,Medical,MBBS,655 marks,General,Hyderabad Telangana,2025
Osmania Medical College,Medical,MBBS,660 marks,General,Hyderabad Telangana,2025
Kakatiya Medical College,Medical,MBBS,645 marks,OBC,Warangal Telangana,2025
Andhra Medical College,Medical,MBBS,650 marks,General,Visakhapatnam Andhra Pradesh,2025
Rangaraya Medical College,Medical,MBBS,640 marks,OBC,Kakinada Andhra Pradesh,2025
Government Medical College Thrissur,Medical,MBBS,650 marks,General,Thrissur Kerala,2025
Government Medical College Alappuzha,Medical,MBBS,645 marks,OBC,Alappuzha Kerala,2025
Government Medical College Kottayam,Medical,MBBS,655 marks,General,Kottayam Kerala,2025
Gandhi Medical College Secunderabad,Medical,MBBS,650 marks,General,Secunderabad Telangana,2025
AIIMS Rajkot,Medical,MBBS,650 marks,General,Rajkot Gujarat,2025
AIIMS Madurai,Medical,MBBS,645 marks,General,Madurai Tamil Nadu,2025
AIIMS Vijaypur,Medical,MBBS,640 marks,General,Vijaypur Jammu & Kashmir,2025
AIIMS Darbhanga,Medical,MBBS,635 marks,General,Darbhanga Bihar,2025
Government Medical College Kannur,Medical,MBBS,645 marks,General,Kannur Kerala,2025
Government Medical College Manjeri,Medical,MBBS,640 marks,OBC,Manjeri Kerala,2025
Government Medical College Palakkad,Medical,MBBS,635 marks,SC,Palakkad Kerala,2025
Government Medical College Idukki,Medical,MBBS,630 marks,ST,Idukki Kerala,2025
Government Medical College Anantapur,Medical,MBBS,640 marks,General,Anantapur Andhra Pradesh,2025
Government Medical College Eluru,Medical,MBBS,635 marks,OBC,Eluru Andhra Pradesh,2025
Government Medical College Nalgonda,Medical,MBBS,645 marks,General,Nalgonda Telangana,2025
Government Medical College Mahabubnagar,Medical,MBBS,635 marks,OBC,Mahabubnagar Telangana,2025
Government Medical College Barmer,Medical,MBBS,630 marks,ST,Barmer Rajasthan,2025
Government Medical College Dungarpur,Medical,MBBS,625 marks,SC,Dungarpur Rajasthan,2025
Government Medical College Pali,Medical,MBBS,635 marks,General,Pali Rajasthan,2025
Government Medical College Alwar,Medical,MBBS,640 marks,OBC,Alwar Rajasthan,2025
Government Medical College Ambedkar Nagar,Medical,MBBS,635 marks,General,Ambedkar Nagar Uttar Pradesh,2025
Government Medical College Banda,Medical,MBBS,630 marks,SC,Banda Uttar Pradesh,2025
Government Medical College Siddharthnagar,Medical,MBBS,625 marks,ST,Siddharthnagar Uttar Pradesh,2025
Government Medical College Datia,Medical,MBBS,635 marks,General,Datia Madhya Pradesh,2025
Government Medical College Ratlam,Medical,MBBS,630 marks,OBC,Ratlam Madhya Pradesh,2025
Government Medical College Khandwa,Medical,MBBS,625 marks,SC,Khandwa Madhya Pradesh,2025
Government Medical College Vidisha,Medical,MBBS,635 marks,General,Vidisha Madhya Pradesh,2025
Government Medical College Balasore,Medical,MBBS,640 marks,General,Balasore Odisha,2025
Government Medical College Koraput,Medical,MBBS,620 marks,ST,Koraput Odisha,2025
Government Medical College Sundargarh,Medical,MBBS,630 marks,OBC,Sundargarh Odisha,2025
Government Medical College Jalpaiguri,Medical,MBBS,645 marks,General,Jalpaiguri West Bengal,2025
Government Medical College Purulia,Medical,MBBS,635 marks,SC,Purulia West Bengal,2025
Government Medical College Rampurhat,Medical,MBBS,640 marks,OBC,Rampurhat West Bengal,2025
AIIMS Rae Bareli,Medical,MBBS,640 marks,General,Rae Bareli Uttar Pradesh,2025
AIIMS Mangalgiri,Medical,MBBS,645 marks,General,Mangalagiri Andhra Pradesh,2025
AIIMS Awantipora,Medical,MBBS,635 marks,General,Awantipora Jammu & Kashmir,2025
AIIMS Rewari,Medical,MBBS,630 marks,General,Rewari Haryana,2025
AIIMS Manipur,Medical,MBBS,640 marks,General,Imphal Manipur,2025
AIIMS Telangana,Medical,MBBS,635 marks,General,Telangana Telangana,2025
Government Medical College Rajouri,Medical,MBBS,630 marks,OBC,Rajouri Jammu & Kashmir,2025
Government Medical College Kathua,Medical,MBBS,625 marks,SC,Kathua Jammu & Kashmir,2025
Government Medical College Baramulla,Medical,MBBS,620 marks,ST,Baramulla Jammu & Kashmir,2025
Government Medical College Doda,Medical,MBBS,615 marks,ST,Doda Jammu & Kashmir,2025
Government Medical College Churu,Medical,MBBS,630 marks,General,Churu Rajasthan,2025
Government Medical College Hanumangarh,Medical,MBBS,625 marks,OBC,Hanumangarh Rajasthan,2025
Government Medical College Sirohi,Medical,MBBS,620 marks,ST,Sirohi Rajasthan,2025
Government Medical College Bharatpur,Medical,MBBS,635 marks,General,Bharatpur Rajasthan,2025
Government Medical College Moradabad,Medical,MBBS,640 marks,General,Moradabad Uttar Pradesh,2025
Government Medical College Shahjahanpur,Medical,MBBS,635 marks,OBC,Shahjahanpur Uttar Pradesh,2025
Government Medical College Basti,Medical,MBBS,630 marks,SC,Basti Uttar Pradesh,2025
Government Medical College Jaunpur,Medical,MBBS,625 marks,ST,Jaunpur Uttar Pradesh,2025
Government Medical College Chhindwara,Medical,MBBS,630 marks,General,Chhindwara Madhya Pradesh,2025
Government Medical College Shivpuri,Medical,MBBS,625 marks,OBC,Shivpuri Madhya Pradesh,2025
Government Medical College Shahdol,Medical,MBBS,620 marks,ST,Shahdol Madhya Pradesh,2025
Government Medical College Mandla,Medical,MBBS,615 marks,ST,Mandla Madhya Pradesh,2025
Government Medical College Keonjhar,Medical,MBBS,630 marks,General,Keonjhar Odisha,2025
Government Medical College Nayagarh,Medical,MBBS,625 marks,OBC,Nayagarh Odisha,2025
Government Medical College Kandhamal,Medical,MBBS,620 marks,ST,Kandhamal Odisha,2025
Government Medical College Mayurbhanj,Medical,MBBS,635 marks,General,Baripada Odisha,2025
Government Medical College Jhargram,Medical,MBBS,630 marks,General,Jhargram West Bengal,2025
Government Medical College Cooch Behar,Medical,MBBS,625 marks,OBC,Cooch Behar West Bengal,2025
Government Medical College Malda,Medical,MBBS,620 marks,SC,Malda West Bengal,2025
Government Medical College Kalimpong,Medical,MBBS,615 marks,ST,Kalimpong West Bengal,2025
Government Medical College Firozabad,Medical,MBBS,635 marks,General,Firozabad Uttar Pradesh,2025
Government Medical College Etah,Medical,MBBS,630 marks,OBC,Etah Uttar Pradesh,2025
Government Medical College Etawah,Medical,MBBS,625 marks,SC,Etawah Uttar Pradesh,2025
Government Medical College Kannauj,Medical,MBBS,620 marks,ST,Kannauj Uttar Pradesh,2025
Government Medical College Bulandshahr,Medical,MBBS,635 marks,General,Bulandshahr Uttar Pradesh,2025
Government Medical College Pilibhit,Medical,MBBS,630 marks,OBC,Pilibhit Uttar Pradesh,2025
Government Medical College Lakhimpur Kheri,Medical,MBBS,625 marks,SC,Lakhimpur Kheri Uttar Pradesh,2025
Government Medical College Sitapur,Medical,MBBS,620 marks,ST,Sitapur Uttar Pradesh,2025
Government Medical College Deoria,Medical,MBBS,630 marks,General,Deoria Uttar Pradesh,2025
Government Medical College Maharajganj,Medical,MBBS,625 marks,OBC,Maharajganj Uttar Pradesh,2025
Government Medical College Chittorgarh,Medical,MBBS,635 marks,General,Chittorgarh Rajasthan,2025
Government Medical College Jaisalmer,Medical,MBBS,630 marks,OBC,Jaisalmer Rajasthan,2025
Government Medical College Pratapgarh,Medical,MBBS,625 marks,SC,Pratapgarh Rajasthan,2025
Government Medical College Banswara,Medical,MBBS,620 marks,ST,Banswara Rajasthan,2025
Government Medical College Dausa,Medical,MBBS,635 marks,General,Dausa Rajasthan,2025
Government Medical College Karauli,Medical,MBBS,630 marks,OBC,Karauli Rajasthan,2025
Government Medical College Tonk,Medical,MBBS,625 marks,SC,Tonk Rajasthan,2025
Government Medical College Chamarajanagar,Medical,MBBS,635 marks,General,Chamarajanagar Karnataka,2025
Government Medical College Karwar,Medical,MBBS,630 marks,OBC,Karwar Karnataka,2025
Government Medical College Yadgir,Medical,MBBS,625 marks,SC,Yadgir Karnataka,2025
Government Medical College Bagalkot,Medical,MBBS,640 marks,General,Bagalkot Karnataka,2025
Government Medical College Raichur,Medical,MBBS,630 marks,OBC,Raichur Karnataka,2025
Government Medical College Koppal,Medical,MBBS,625 marks,ST,Koppal Karnataka,2025
Government Medical College Gadag,Medical,MBBS,635 marks,General,Gadag Karnataka,2025
Government Medical College Chikkaballapur,Medical,MBBS,630 marks,OBC,Chikkaballapur Karnataka,2025
Government Medical College Mandya,Medical,MBBS,640 marks,General,Mandya Karnataka,2025
Government Medical College Palamu,Medical,MBBS,625 marks,General,Palamu Jharkhand,2025
Government Medical College Dumka,Medical,MBBS,620 marks,ST,Dumka Jharkhand,2025
Government Medical College Hazaribagh,Medical,MBBS,630 marks,OBC,Hazaribagh Jharkhand,2025
Government Medical College Chaibasa,Medical,MBBS,615 marks,ST,Chaibasa Jharkhand,2025
Government Medical College Korba,Medical,MBBS,630 marks,General,Korba Chhattisgarh,2025
Government Medical College Ambikapur,Medical,MBBS,625 marks,ST,Ambikapur Chhattisgarh,2025
Government Medical College Rajnandgaon,Medical,MBBS,635 marks,OBC,Rajnandgaon Chhattisgarh,2025
Government Medical College Mahasamund,Medical,MBBS,620 marks,SC,Mahasamund Chhattisgarh,2025
Government Medical College Dhamtari,Medical,MBBS,625 marks,ST,Dhamtari Chhattisgarh,2025
Government Medical College Karimganj,Medical,MBBS,630 marks,General,Karimganj Assam,2025
Government Medical College Kokrajhar,Medical,MBBS,620 marks,ST,Kokrajhar Assam,2025
Government Medical College Lakhimpur,Medical,MBBS,625 marks,OBC,Lakhimpur Assam,2025
Government Medical College Nagaon,Medical,MBBS,635 marks,General,Nagaon Assam,2025
Government Medical College Dhubri,Medical,MBBS,620 marks,SC,Dhubri Assam,2025
Government Medical College Seoni,Medical,MBBS,625 marks,ST,Seoni Madhya Pradesh,2025
Government Medical College Damoh,Medical,MBBS,620 marks,SC,Damoh Madhya Pradesh,2025
Government Medical College Singrauli,Medical,MBBS,615 marks,ST,Singrauli Madhya Pradesh,2025
Government Medical College Datia,Medical,MBBS,635 marks,OBC,Datia Madhya Pradesh,2025
Government Medical College Purnea,Medical,MBBS,630 marks,General,Purnea Bihar,2025
Government Medical College Bettiah,Medical,MBBS,625 marks,OBC,Bettiah Bihar,2025
Government Medical College Madhepura,Medical,MBBS,620 marks,SC,Madhepura Bihar,2025
Government Medical College Jamui,Medical,MBBS,615 marks,ST,Jamui Bihar,2025
Government Medical College Karwar,Medical,MBBS,630 marks,General,Karwar Karnataka,2025
Government Medical College Gadag,Medical,MBBS,635 marks,OBC,Gadag Karnataka,2025
Government Medical College Haveri,Medical,MBBS,625 marks,SC,Haveri Karnataka,2025
Government Medical College Ramanagara,Medical,MBBS,620 marks,ST,Ramanagara Karnataka,2025
Government Medical College Araria,Medical,MBBS,620 marks,SC,Araria Bihar,2025
Government Medical College Samastipur,Medical,MBBS,625 marks,OBC,Samastipur Bihar,2025
Government Medical College Sitamarhi,Medical,MBBS,615 marks,ST,Sitamarhi Bihar,2025
Government Medical College Siwan,Medical,MBBS,630 marks,General,Siwan Bihar,2025
Government Medical College Nalanda,Medical,MBBS,635 marks,General,Nalanda Bihar,2025
Government Medical College Supaul,Medical,MBBS,620 marks,OBC,Supaul Bihar,2025
Government Medical College Balrampur,Medical,MBBS,625 marks,SC,Balrampur Uttar Pradesh,2025
Government Medical College Gonda,Medical,MBBS,630 marks,General,Gonda Uttar Pradesh,2025
Government Medical College Ayodhya,Medical,MBBS,635 marks,General,Ayodhya Uttar Pradesh,2025
Government Medical College Azamgarh,Medical,MBBS,625 marks,OBC,Azamgarh Uttar Pradesh,2025
Government Medical College Fatehpur,Medical,MBBS,620 marks,ST,Fatehpur Uttar Pradesh,2025
Government Medical College Mainpuri,Medical,MBBS,630 marks,General,Mainpuri Uttar Pradesh,2025
Government Medical College Kasganj,Medical,MBBS,625 marks,OBC,Kasganj Uttar Pradesh,2025
Government Medical College Rampur,Medical,MBBS,635 marks,General,Rampur Uttar Pradesh,2025
Government Medical College Saharanpur,Medical,MBBS,640 marks,General,Saharanpur Uttar Pradesh,2025
